City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
338,colonia,50.9333,6.95,15.53,82,20,3.09,DE,1690430320
339,mugia,43.1041,-9.2179,17.91,81,88,1.9,ES,1690430321
340,elliot lake,46.3834,-82.6331,16.81,98,61,1.81,CA,1690430321
341,guatrache,-37.6678,-63.5302,4.4,55,100,2.03,AR,1690430321
342,erenhot,43.6475,111.9767,28.82,36,100,1.91,CN,1690430321
343,taltal,-25.4,-70.4833,14.8,87,37,1.97,CL,1690430321
344,meadow lake,34.8014,-106.5436,31.71,44,76,7.75,US,1690430321
345,saurimo,-9.6608,20.3916,15.13,44,18,2.34,AO,1690430322
346,hammerfest,70.6634,23.6821,11.25,87,100,2.06,NO,1690430322
347,songyuan,45.1171,124.8568,28.83,69,99,7.53,CN,1690430322
348,hendersonville,36.3048,-86.62,28.34,83,77,0.45,US,1690430322
349,pudasjarvi,65.3833,26.9167,14.13,83,56,0.66,FI,1690430322
350,robore,-18.3333,-59.75,19.22,65,86,2.4,BO,1690430322
351,dongola,19.1667,30.4833,32.75,39,86,4.93,SD,1690430322
352,lom sak,16.7798,101.2422,32.94,52,20,3.6,TH,1690430323
353,nuuk,64.1835,-51.7216,4.88,92,100,3.49,GL,1690430323
354,woolgoolga,-30.1106,153.2007,21.69,54,0,4.35,AU,1690430323
355,mahina,-17.5065,-149.489,24.87,88,75,0.51,PF,1690430323
356,puntarenas,9.9763,-84.8384,26.79,82,100,1.25,CR,1690430323
357,port saint john's,-31.6229,29.5448,18.67,69,70,1.38,ZA,1690430323
358,bel ombre,-4.6167,55.4167,23.91,88,75,3.09,SC,1690430323
359,guarapari,-20.6667,-40.4975,20.5,89,47,4.38,BR,1690430324
360,sept-iles,50.2001,-66.3821,20.0,83,100,3.09,CA,1690430041
361,kirakira,-10.4544,161.9205,27.61,83,100,6.34,SB,1690430324
362,tazacorte,28.629,-17.9293,21.54,83,75,5.14,ES,1690430202
363,chimoio,-19.1164,33.4833,12.92,87,0,0.79,MZ,1690430324
